plot_date,RR_7d_rolling_mean,ss_7d_rolling_mean
1900-04-29,5.025844988344988,4.790445269016698
1900-04-30,4.67524975024975,4.691805813234384
1900-05-01,4.755705009276438,4.884423721641767
1900-05-02,5.568692022263451,4.812283956644859
1900-05-03,5.636614100185528,4.875270969631871
1900-05-04,5.811042671614102,4.821343944276275
1900-05-05,4.952908700322235,4.851343944276275
1900-05-06,5.203503938417472,5.077837450769782
1900-05-07,5.292075366988902,5.093823845327605
1900-05-08,4.8594223057644115,4.929777365491652
1900-05-09,4.8754396217817275,4.941341991341992
1900-05-10,5.483827067669174,4.922056277056277
1900-05-11,5.313342595619484,5.017974644403216
1900-05-12,5.199285714285714,5.060701917130488
1900-05-13,5.440976190476191,4.866675943104515
1900-05-14,5.527833333333334,4.960961657390229
1900-05-15,5.910146258503402,4.976422387136672
1900-05-16,5.23908398744113,5.045165673925072
1900-05-17,3.937808477237049,5.0625033362627345
1900-05-18,4.184292949286738,5.1169251049702185
1900-05-19,5.120961916390487,5.067769260814373
1900-05-20,4.869832664689808,5.193223806268919
1900-05-21,5.114812256526542,5.2086783517234645
1900-05-22,5.592747778561444,5.342011685056797
1900-05-23,6.038137171776924,5.4252071737786025
1900-05-24,6.487960301028624,5.231123479694908
1900-05-25,5.635264648854711,5.060035044320759
1900-05-26,4.928409346347236,5.054150690579262
1900-05-27,5.013650399290151,5.040137085137085
1900-05-28,4.469813664596274,4.927539682539683
1900-05-29,4.309565217391305,4.821417233560091
1900-05-30,3.3201587301587305,4.711655328798186
1900-05-31,2.965301587301588,4.8174273345701915
1900-06-01,3.6032180186962797,4.6734423721641765
1900-06-02,4.14830083443127,4.593417634996583
1900-06-03,5.360723194679717,4.317656804348533
1900-06-04,5.346056528013051,4.32697653223969
1900-06-05,5.491770813727336,4.363915307749894
1900-06-06,5.5715021934587154,4.366534355368942
1900-06-07,6.27378790774443,4.192508381342968
1900-06-08,5.782455327281414,4.430030758714969
1900-06-09,5.833135599390259,4.487173615857826
1900-06-10,5.010549489847627,4.752730364873222
1900-06-11,5.0850732993714365,4.666982065553495
1900-06-12,4.579110566452181,4.464644403215831
1900-06-13,5.23723287892232,4.255222634508349
1900-06-14,5.389947164636607,4.375630797773655
1900-06-15,6.165045978865855,4.347093382807669
1900-06-16,5.096383250616661,4.408716759431045
1900-06-17,4.46212227349854,4.318920841063698
1900-06-18,4.3315378579141255,4.507492269635127
1900-06-19,3.9734189581803183,4.69060915275201
