DayMonth,RR,ss,RR_7d_rolling_mean,ss_7d_rolling_mean
24-03,2.7615384615384615,5.589473684210526,6.93935977633022,4.573816521824041
25-03,15.857142857142858,5.652631578947369,8.475597871568315,4.681539611059735
26-03,7.496153846153846,3.1181818181818177,8.951351264713013,4.986929221449345
27-03,5.08,4.195238095238095,8.262636531170694,5.072643507163631
28-03,14.612,5.458823529411765,8.3265161298329,5.0278887631607665
29-03,8.004347826086956,6.122727272727272,7.315971912145825,4.949621666848557
30-03,4.027272727272727,5.371428571428571,7.549174423919765,5.369167121394012
31-03,3.2086956521739127,5.276190476190476,8.851011158613643,5.5711460948015565
01-04,8.783333333333333,5.104761904761905,8.295400769003253,5.584171304885591
02-04,9.128571428571428,6.055,7.836987443198623,5.60394042465471
03-04,14.192857142857141,5.609090909090909,7.950948482159662,5.653022057307772
04-04,10.72272727272727,5.55,8.340182436611007,5.641423417851989
05-04,4.795454545454546,6.261111111111111,7.8754826436503444,5.557284499126604
06-04,4.825,5.715,7.230491920088193,5.411765018607125
07-04,5.933333333333333,5.195,5.641798042537173,5.290336447178553
08-04,5.530434782608696,4.515789473684211,4.488240730284209,5.115336447178552
09-04,4.613636363636363,5.036363636363636,4.6667472237907015,5.107255639097744
10-04,3.0720000000000005,4.759090909090909,4.296509128552606,5.036858813700919
11-04,2.6478260869565218,4.325,4.769723414266893,5.0849415204678365
12-04,6.045,6.204545454545454,4.550494635798984,5.25343418068982
13-04,2.2333333333333334,5.222222222222222,4.784260869565218,5.206175883431522
14-04,9.245833333333334,5.531578947368421,5.309139990444338,5.346305753561393
15-04,3.9958333333333336,5.6952380952380945,6.666857956857958,5.432994065249703
16-04,6.25,4.705555555555556,6.562143671143671,5.393059000314639
17-04,6.746153846153846,5.74,7.293096052096052,5.453829975371328
18-04,12.151851851851852,4.931818181818182,9.23200297850298,5.577890125747269
19-04,5.312,5.925,9.7661147001147,5.341557410843125
20-04,7.3500000000000005,5.647619047619047,9.369090890590892,5.5523283858998145
21-04,22.818181818181817,6.4,9.048926055426055,5.360899814471243
22-04,7.734615384615385,4.040909090909091,7.799210955710955,5.347510822510823
23-04,3.470833333333333,6.180952380952381,7.962377622377622,5.248021026592455
24-04,4.505,4.4,7.493146853146853,5.065893630179344
25-04,3.4038461538461537,4.838095238095238,4.628211788211788,4.8081014223871374
26-04,6.454166666666667,5.228571428571429,4.276123876123876,4.974984539270253
27-04,4.065384615384615,4.372727272727273,4.516719114219114,4.788095238095238
28-04,2.7636363636363637,4.595454545454545,5.176394438894439,4.845238095238096
29-04,5.2700000000000005,5.209090909090909,5.025844988344988,4.790445269016698
30-04,5.154999999999999,4.872727272727273,4.67524975024975,4.691805813234384
01-05,9.122727272727273,4.8,4.755705009276438,4.884423721641767
02-05,2.35,4.454545454545454,5.568692022263451,4.812283956644859
03-05,4.0,4.538095238095238,5.636614100185528,4.875270969631871
04-05,4.628571428571429,5.721052631578948,5.811042671614102,4.821343944276275
05-05,8.454545454545455,4.090476190476191,4.952908700322235,4.851343944276275
06-05,5.745454545454546,5.6499999999999995,5.203503938417472,5.077837450769782
07-05,6.376,4.495238095238095,5.292075366988902,5.093823845327605
08-05,3.115789473684211,5.01,4.8594223057644115,4.929777365491652
09-05,4.104166666666667,6.04,4.8754396217817275,4.941341991341992
10-05,4.62,4.65,5.483827067669174,4.922056277056277
11-05,1.6,4.572727272727272,5.313342595619484,5.017974644403216
12-05,8.566666666666666,4.171428571428571,5.199285714285714,5.060701917130488
13-05,10.004166666666666,5.515,5.440976190476191,4.866675943104515
14-05,5.182608695652174,5.166666666666667,5.527833333333334,4.960961657390229
15-05,2.317391304347826,5.309090909090909,5.910146258503402,4.976422387136672
16-05,5.796,4.681818181818182,5.23908398744113,5.045165673925072
17-05,5.228,5.3100000000000005,3.937808477237049,5.0625033362627345
18-05,4.276190476190476,4.680952380952381,4.184292949286738,5.1169251049702185
19-05,3.869230769230769,4.652631578947369,5.120961916390487,5.067769260814373
20-05,0.8952380952380953,5.636363636363637,4.869832664689808,5.193223806268919
21-05,6.9079999999999995,5.5476190476190474,5.114812256526542,5.2086783517234645
22-05,8.874074074074073,4.965,5.592747778561444,5.342011685056797
23-05,4.038095238095238,5.5600000000000005,6.038137171776924,5.4252071737786025
24-05,6.942857142857143,5.418181818181818,6.487960301028624,5.231123479694908
25-05,7.621739130434783,5.614285714285715,5.635264648854711,5.060035044320759
26-05,6.986956521739131,5.235,4.928409346347236,5.054150690579262
27-05,4.044,4.277777777777778,5.013650399290151,5.040137085137085
28-05,0.9391304347826086,4.35,4.469813664596274,4.927539682539683
29-05,3.92608695652174,4.923809523809524,4.309565217391305,4.821417233560091
30-05,4.634782608695652,5.461904761904762,3.3201587301587305,4.711655328798186
31-05,3.1359999999999997,4.63,2.965301587301588,4.8174273345701915
01-06,6.5,4.871428571428571,3.6032180186962797,4.6734423721641765
02-06,0.061111111111111116,4.466666666666667,4.14830083443127,4.593417634996583
03-06,1.56,5.0181818181818185,5.360723194679717,4.317656804348533
04-06,5.404545454545455,3.3421052631578947,5.346056528013051,4.32697653223969
05-06,7.741666666666667,4.363636363636363,5.491770813727336,4.363915307749894
06-06,13.121739130434783,3.5315789473684207,5.5715021934587154,4.366534355368942
07-06,3.0333333333333337,4.695238095238095,6.27378790774443,4.192508381342968
08-06,7.5200000000000005,5.13,5.782455327281414,4.430030758714969
09-06,0.6192307692307693,4.485,5.833135599390259,4.487173615857826
10-06,6.476,3.8,5.010549489847627,4.752730364873222
11-06,1.965217391304348,5.004761904761905,5.0850732993714365,4.666982065553495
12-06,8.096428571428572,4.763636363636364,4.579110566452181,4.464644403215831
13-06,7.363636363636363,5.390476190476191,5.23723287892232,4.255222634508349
14-06,3.5550000000000006,4.095000000000001,5.389947164636607,4.375630797773655
15-06,3.978260869565217,3.713636363636364,6.165045978865855,4.347093382807669
16-06,5.22608695652174,3.019047619047619,5.096383250616661,4.408716759431045
17-06,7.544999999999999,4.642857142857143,4.46212227349854,4.318920841063698
18-06,7.390909090909091,4.805,4.3315378579141255,4.507492269635127
19-06,0.6157894736842104,5.195,3.9734189581803183,4.69060915275201
